丁,秨絃基,程蔼基,程基,Μ絃基,Θユ秖,MA5,MA10,DIF12-26,MACD9,OSC,磕戈(じ),畉肂(じ),禦秈(じ),芥(じ),瞷纕(眎),ㄏノ瞯,磕ㄩ(眎),畉肂(眎),禦秈(眎),芥(眎),ㄩ纕(眎),ㄏノ瞯,ㄩ緇肂(眎),畉肂(眎),ㄩ(眎),临ㄩ(眎),讽≧眎计,讽≧瞯,戈ㄩが╄(眎),瞷讽≧(眎),讽≧ゑ瞯,禦秈,芥,禦芥禬(じ),戈仓璸禦芥禬(じ),禦秈(じ),芥(じ),戈ゑㄒ,禦芥禬(じ),щ獺仓璸禦芥禬(じ),禦秈(じ),芥(じ),щ獺ゑㄒ,禦芥禬(じ),犁坝仓璸禦芥禬(じ),禦秈(じ),芥(じ),犁坝ゑㄒ,禦芥禬(じ),猭仓璸禦芥禬(じ),禦秈(じ),芥(じ),猭ゑㄒ,禦芥畉,禦秈,芥
2002/3/20,5948,6068.29,5900.34,6059.06,1125.95,998.56,1260.62,78.99,87.53,-8.54,2469货,-2.00货,195货,181货,1.20窾,N/A,42.4窾,3.00窾,6.48窾,10.1窾,1310,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.4货,8386货,78.4货,50.0货,N/A,8.90货,-681货,44.5货,35.6货,N/A,-1268窾,-353货,23.3货,23.4货,N/A,37.2货,7315货,146货,109货,N/A,N/A,N/A,N/A
2002/3/21,5981.77,6080.45,5980.81,6046.52,1170.44,1017.84,1198.46,77.43,85.51,-8.09,2497货,28.5货,237货,206货,2.08窾,N/A,43.5窾,1.06窾,8.00窾,9.51窾,2037,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.7货,8405货,81.4货,62.6货,N/A,11.2货,-670货,43.1货,31.9货,N/A,2.97货,-350货,23.7货,20.7货,N/A,32.9货,7348货,148货,115货,N/A,N/A,N/A,N/A
2002/3/22,6149.16,6203.21,6127.04,6140.42,1542.67,1086.04,1199.55,84.43,85.3,-0.87,2540货,42.8货,332货,287货,1.12窾,N/A,41.9窾,-1.59窾,7.17窾,6.85窾,1.05窾,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.4货,8435货,79.1货,48.7货,N/A,23.0货,-647货,61.0货,38.0货,N/A,9.55货,-341货,42.9货,33.3货,N/A,63.0货,7411货,183货,120货,N/A,N/A,N/A,N/A
2002/3/25,6194.16,6243.51,6154.73,6219.17,1465.34,1233.01,1179.43,93.45,86.93,6.52,2548货,8.43货,284货,274货,1.31窾,N/A,41.5窾,-3919,6.11窾,7.68窾,1.79窾,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.2货,8475货,72.7货,32.5货,N/A,2.99货,-644货,48.8货,45.8货,N/A,13.4货,-327货,37.9货,24.5货,N/A,56.6货,7468货,159货,103货,N/A,N/A,N/A,N/A
2002/3/26,6206.18,6259.81,6181.75,6242.64,1345.5,1329.98,1182.26,101.25,89.79,11.46,2555货,7.11货,256货,246货,1.33窾,N/A,41.7窾,1567,4.50窾,5.70窾,6202,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.6货,8489货,60.1货,46.5货,N/A,4.14货,-640货,43.5货,39.4货,N/A,13.4货,-314货,43.4货,30.0货,N/A,31.1货,7499货,147货,116货,N/A,N/A,N/A,N/A
2002/3/27,6303.44,6326.43,6139.18,6147.75,1633.33,1431.46,1215.01,102.9,92.41,10.49,2546货,-9.49货,307货,329货,1.76窾,N/A,41.1窾,-6212,6.93窾,7.05窾,2672,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.1货,8517货,101货,72.5货,N/A,-21.5货,-662货,41.6货,63.1货,N/A,-32.6货,-347货,29.4货,62.0货,N/A,-26.0货,7473货,172货,198货,N/A,N/A,N/A,N/A
2002/3/28,6190.08,6209.92,6100.72,6209.92,1220.83,1441.54,1229.69,102.41,94.41,8,2558货,12.1货,219货,204货,3.72窾,N/A,37.9窾,-3.18窾,8.88窾,8.09窾,1.78窾,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.9货,8559货,117货,75.5货,N/A,-7.73货,-669货,44.3货,52.0货,N/A,-9.33货,-356货,22.3货,31.6货,N/A,24.9货,7498货,184货,159货,N/A,N/A,N/A,N/A
2002/3/29,6265.02,6265.02,6154.56,6167.47,1074.17,1347.84,1216.94,101.34,95.8,5.54,2568货,10.1货,193货,181货,2.46窾,N/A,42.0窾,4.11窾,4.71窾,9.23窾,3963,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.49货,8567货,53.4货,44.9货,N/A,-10.7货,-680货,34.7货,45.4货,N/A,-4.38货,-360货,28.6货,33.0货,N/A,-6.55货,7491货,117货,123货,N/A,N/A,N/A,N/A
2002/4/1,6118.45,6213.32,6118.45,6186.44,989.99,1252.77,1242.89,98.35,96.31,2.04,2571货,3.37货,183货,177货,1.45窾,N/A,41.7窾,-2715,4.93窾,6.88窾,2.31窾,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.85货,8576货,24.6货,15.8货,N/A,8.14货,-672货,44.7货,36.6货,N/A,-2303窾,-361货,21.3货,21.6货,N/A,16.8货,7508货,90.7货,73.9货,N/A,N/A,N/A,N/A
2002/4/2,6248.04,6326.13,6230.35,6243.46,1488.65,1281.39,1305.69,101.65,97.38,4.27,2587货,15.6货,298货,280货,1.32窾,N/A,42.8窾,1.07窾,5.16窾,7.51窾,1.06窾,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.0货,8622货,88.1货,42.2货,N/A,3.15货,-669货,56.1货,53.0货,N/A,4.41货,-356货,29.7货,25.3货,N/A,53.5货,7562货,174货,120货,N/A,N/A,N/A,N/A
2002/4/3,6220.49,6306.44,6207.13,6294.66,1448.82,1244.49,1337.98,104.26,98.75,5.5,2641货,53.5货,299货,244货,1.09窾,N/A,44.2窾,1.45窾,6.51窾,8.91窾,2828,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-3.09货,8619货,80.9货,84.0货,N/A,-15.9货,-685货,47.2货,63.1货,N/A,6.49货,-350货,30.9货,24.4货,N/A,-12.5货,7549货,159货,172货,N/A,N/A,N/A,N/A
2002/4/4,6303.71,6307.32,6164.06,6207.09,1492.77,1298.88,1370.21,100.78,99.16,1.62,2653货,12.9货,296货,281货,1.68窾,N/A,42.1窾,-2.16窾,7.26窾,5.78窾,4232,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-5.25货,8614货,105货,111货,N/A,-31.5货,-716货,48.9货,80.4货,N/A,-14.1货,-364货,22.4货,36.5货,N/A,-50.8货,7498货,177货,228货,N/A,N/A,N/A,N/A
2002/4/8,6204.57,6246.32,6176.79,6190.83,1156.53,1315.35,1331.59,95.29,98.38,-3.09,2647货,-6.59货,217货,222货,9476,N/A,43.8窾,1.76窾,6.07窾,9.56窾,3746,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-5578窾,8613货,97.2货,97.7货,N/A,-6.15货,-722货,36.9货,43.0货,N/A,-5.65货,-369货,16.0货,21.7货,N/A,-12.4货,7486货,150货,162货,N/A,N/A,N/A,N/A
2002/4/9,6222.72,6235.97,6069.07,6069.85,1038.07,1324.97,1288.87,82.73,95.25,-12.52,2631货,-15.6货,186货,198货,1.63窾,N/A,39.3窾,-4.54窾,8.71窾,4.97窾,3525,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.5货,8634货,95.8货,75.3货,N/A,-20.6货,-743货,29.3货,49.9货,N/A,-6.12货,-376货,16.0货,22.1货,N/A,-6.25货,7480货,141货,147货,N/A,N/A,N/A,N/A
2002/4/10,6036.08,6082.94,6016.04,6059.21,912.2,1209.68,1245.54,67.41,89.68,-22.28,2637货,5.90货,164货,155货,1.47窾,N/A,43.1窾,3.81窾,5.25窾,9.48窾,1822,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-49.3货,8584货,55.7货,105货,N/A,1.73货,-741货,32.1货,30.4货,N/A,-1.60货,-377货,21.5货,23.1货,N/A,-49.2货,7431货,109货,158货,N/A,N/A,N/A,N/A
2002/4/11,6098.54,6145.57,6065.59,6073.76,1065.71,1133.06,1188.78,57.46,83.24,-25.78,2643货,6.04货,196货,188货,1.10窾,N/A,47.7窾,4.59窾,4.95窾,9.97窾,1303,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.69货,8589货,102货,97.7货,N/A,8.75货,-732货,43.3货,34.5货,N/A,-2.40货,-380货,16.2货,18.6货,N/A,11.0货,7442货,162货,151货,N/A,N/A,N/A,N/A
2002/4/12,6036.45,6182.59,6009.45,6182.59,1188.73,1072.25,1185.56,52.96,77.18,-24.22,2656货,12.7货,224货,199货,1.70窾,N/A,49.1窾,1.38窾,7.46窾,10.0窾,9320,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.42货,8598货,86.5货,78.1货,N/A,1.78货,-731货,46.5货,44.7货,N/A,2.23货,-377货,28.1货,25.8货,N/A,12.4货,7454货,161货,149货,N/A,N/A,N/A,N/A
2002/4/15,6226.57,6261.78,6179.61,6196,1347.96,1110.53,1212.94,54.35,72.62,-18.27,2682货,26.3货,284货,266货,9605,N/A,50.7窾,1.62窾,4.39窾,6.95窾,7759,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.9货,8617货,58.3货,38.4货,N/A,-3.92货,-734货,43.9货,47.8货,N/A,5.98货,-371货,28.4货,22.4货,N/A,22.0货,7476货,131货,109货,N/A,N/A,N/A,N/A
2002/4/16,6249.93,6292.18,6222.43,6257.73,1081.51,1119.22,1222.09,58.73,69.84,-11.11,2692货,10.0货,221货,209货,1.25窾,N/A,51.2窾,5468,4.04窾,5.10窾,3530,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.1货,8650货,75.7货,43.6货,N/A,-5.63货,-740货,35.2货,40.8货,N/A,2.45货,-369货,21.3货,18.8货,N/A,29.0货,7505货,132货,103货,N/A,N/A,N/A,N/A
2002/4/17,6398.03,6413.76,6344.57,6390.68,1692.78,1275.34,1242.51,71.66,70.21,1.46,2692货,814窾,318货,316货,1.07窾,N/A,52.7窾,1.43窾,5.14窾,7.03窾,2134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,176货,8825货,232货,56.6货,N/A,-1.27货,-741货,47.9货,49.1货,N/A,11.2货,-358货,42.0货,30.8货,N/A,186货,7691货,322货,137货,N/A,N/A,N/A,N/A
2002/4/18,6434.46,6450.3,6373.97,6387.21,1370.16,1336.23,1234.64,82.16,72.6,9.56,2715货,22.7货,261货,237货,1.10窾,N/A,52.5窾,-1512,6.25窾,6.63窾,2630,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,101货,8926货,149货,48.6货,N/A,-15.3货,-757货,48.0货,63.2货,N/A,1.07货,-357货,25.5货,24.4货,N/A,86.6货,7777货,223货,136货,N/A,N/A,N/A,N/A
2002/4/19,6397.54,6460.87,6392.9,6448.12,1235.62,1345.6,1208.92,92.46,76.57,15.89,2750货,35.3货,255货,217货,1.16窾,N/A,54.9窾,2.41窾,7.36窾,10.4窾,5320,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.4货,8948货,99.5货,78.1货,N/A,-10.5货,-767货,28.0货,38.5货,N/A,6.40货,-350货,28.0货,21.6货,N/A,17.3货,7795货,155货,138货,N/A,N/A,N/A,N/A
2002/4/22,6470.45,6484.93,6424.78,6462.3,1215.74,1319.16,1214.85,101.16,81.49,19.67,2752货,1.67货,228货,224货,1.18窾,N/A,56.7窾,1.83窾,6.99窾,9.59窾,4020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.46货,8954货,97.9货,91.4货,N/A,1.52货,-766货,37.5货,36.0货,N/A,5.26货,-345货,25.6货,20.3货,N/A,13.2货,7808货,161货,148货,N/A,N/A,N/A,N/A
2002/4/23,6440.93,6462.88,6372.4,6390.62,1061.5,1315.16,1217.19,102.47,85.68,16.79,2739货,-13.2货,198货,208货,1.49窾,N/A,55.1窾,-1.68窾,7.75窾,6.82窾,2729,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.11货,8955货,65.8货,64.7货,N/A,-3.28货,-769货,33.7货,37.0货,N/A,5.11货,-340货,21.7货,16.6货,N/A,2.94货,7811货,121货,118货,N/A,N/A,N/A,N/A
2002/4/24,6403.77,6460.66,6379.48,6455.39,1049.71,1186.54,1230.94,105.02,89.55,15.47,2752货,13.4货,192货,176货,1.02窾,N/A,56.5窾,1.45窾,5.59窾,9.34窾,1.96窾,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-8.45货,8947货,78.6货,87.0货,N/A,-1.06货,-770货,31.6货,32.6货,N/A,3.89货,-336货,23.4货,19.5货,N/A,-5.62货,7805货,134货,139货,N/A,N/A,N/A,N/A
2002/4/25,6440.07,6464.42,6348.42,6355.59,1462.55,1205.02,1270.62,101.29,91.9,9.39,2774货,21.9货,277货,249货,1.78窾,N/A,55.7窾,-8488,8.35窾,8.38窾,5019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-43.0货,8904货,73.1货,116货,N/A,-25.7货,-796货,34.2货,59.8货,N/A,-7.85货,-344货,23.6货,31.4货,N/A,-76.5货,7729货,131货,207货,N/A,N/A,N/A,N/A
2002/4/26,6359.95,6369.95,6266.46,6306.93,799.47,1117.79,1231.7,91.76,91.87,-0.11,2770货,-3.81货,147货,148货,1.24窾,N/A,50.4窾,-5.27窾,8.91窾,4.29窾,6207,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-16.2货,8888货,67.2货,83.3货,N/A,-5.92货,-802货,11.9货,17.8货,N/A,-3.13货,-347货,12.6货,15.7货,N/A,-25.2货,7703货,91.7货,117货,N/A,N/A,N/A,N/A
2002/4/29,6244.26,6258.18,6175.71,6205.09,834.34,1041.51,1180.34,75.14,88.53,-13.38,2759货,-11.0货,136货,144货,1.19窾,N/A,49.9窾,-4650,5.10窾,6.01窾,3444,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-52.2货,8835货,86.3货,138货,N/A,-9.60货,-811货,17.1货,26.7货,N/A,-7.70货,-355货,11.7货,19.4货,N/A,-69.5货,7634货,115货,185货,N/A,N/A,N/A,N/A
2002/4/30,6201.84,6214.47,6035.82,6065.73,825.42,994.3,1154.73,52.05,81.23,-29.18,2726货,-33.6货,138货,169货,1.37窾,N/A,45.5窾,-4.43窾,7.82窾,4.64窾,1.04窾,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-42.3货,8793货,64.4货,107货,N/A,-5.09货,-816货,26.2货,31.3货,N/A,-8.92货,-364货,11.4货,20.3货,N/A,-56.4货,7578货,102货,158货,N/A,N/A,N/A,N/A
2002/5/2,6099.27,6106.77,5855.96,5867.83,1003.12,984.98,1085.76,19.73,68.93,-49.2,2664货,-61.4货,161货,218货,2.05窾,N/A,43.3窾,-2.17窾,6.52窾,5.05窾,6329,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-3.56货,8789货,104货,108货,N/A,-3.83货,-820货,43.5货,47.3货,N/A,-16.6货,-380货,16.2货,32.9货,N/A,-24.0货,7554货,164货,188货,N/A,N/A,N/A,N/A
2002/5/3,5785.73,5910.67,5750.82,5910.32,893.62,871.19,1038.11,-10.12,53.12,-63.24,2638货,-26.2货,145货,161货,4.26窾,N/A,42.2窾,-1.10窾,6.05窾,9.07窾,4.10窾,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-20.1货,8769货,61.5货,81.7货,N/A,9.81货,-810货,37.4货,27.6货,N/A,-14.1货,-394货,12.2货,26.3货,N/A,-24.5货,7529货,111货,136货,N/A,N/A,N/A,N/A
2002/5/6,5807.5,5807.5,5601.5,5642.48,795.47,870.39,994.09,-49.12,32.67,-81.79,2575货,-63.0货,134货,182货,3.83窾,N/A,38.6窾,-3.65窾,5.36窾,3.32窾,1.61窾,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-29.3货,8740货,60.2货,89.6货,N/A,3.06货,-807货,34.9货,31.9货,N/A,-14.2货,-408货,11.9货,26.1货,N/A,-40.5货,7489货,107货,148货,N/A,N/A,N/A,N/A
2002/5/7,5525.3,5700.69,5525.3,5663.98,881.31,879.79,960.65,-81.9,9.76,-91.66,2540货,-34.7货,146货,167货,3.83窾,N/A,41.3窾,2.68窾,6.08窾,9.00窾,1605,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-35.0货,8705货,60.9货,95.9货,N/A,9.77货,-797货,46.0货,36.2货,N/A,-3.89货,-412货,14.1货,18.0货,N/A,-29.1货,7460货,121货,150货,N/A,N/A,N/A,N/A
2002/5/8,5724.06,5777.47,5670.36,5711.53,927.26,900.16,947.23,-100.33,-12.26,-88.07,2529货,-11.4货,159货,164货,2.30窾,N/A,47.5窾,6.24窾,4.65窾,11.8窾,1368,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-18.6货,8686货,82.3货,101货,N/A,1.50货,-796货,41.2货,39.7货,N/A,-11.3货,-424货,12.2货,23.4货,N/A,-28.4货,7431货,136货,164货,N/A,N/A,N/A,N/A
2002/5/9,5884.28,5884.28,5737.18,5739.28,965.3,892.59,938.79,-109.06,-31.62,-77.44,2528货,-8084窾,171货,165货,1.86窾,N/A,55.7窾,8.20窾,4.95窾,13.6窾,1058,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.6货,8708货,109货,87.0货,N/A,-2.96货,-799货,39.9货,42.9货,N/A,-6006窾,-424货,20.4货,21.0货,N/A,18.0货,7449货,169货,151货,N/A,N/A,N/A,N/A
2002/5/10,5701.18,5813.33,5647.75,5807.3,823.22,878.51,874.85,-115.14,-48.33,-66.82,2526货,-1.88货,138货,135货,2.07窾,N/A,55.0窾,-6640,10.6窾,10.2窾,1938,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-18.7货,8689货,64.3货,83.0货,N/A,1.55货,-797货,38.5货,36.9货,N/A,4981窾,-424货,15.1货,14.6货,N/A,-16.7货,7433货,118货,135货,N/A,N/A,N/A,N/A
2002/5/13,5751.46,5775.66,5718.6,5742.66,500.74,819.57,844.98,-120.51,-62.76,-57.75,2516货,-9.50货,92.2货,98.8货,1.73窾,N/A,55.0窾,-416,5.29窾,5.57窾,2827,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-8.97货,8680货,36.9货,45.8货,N/A,8.04货,-789货,25.6货,17.6货,N/A,1.95货,-422货,8.14货,6.19货,N/A,1.02货,7434货,70.6货,69.6货,N/A,N/A,N/A,N/A
2002/5/14,5801.54,5822.66,5729.43,5755.92,632.5,769.81,824.8,-121.66,-74.54,-47.12,2507货,-9.81货,117货,124货,1.10窾,N/A,59.3窾,4.26窾,5.90窾,10.3窾,1246,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.4货,8698货,52.2货,34.8货,N/A,5.64货,-784货,28.4货,22.8货,N/A,168窾,-422货,10.2货,10.2货,N/A,23.1货,7457货,90.9货,67.8货,N/A,N/A,N/A,N/A
2002/5/15,5836.22,5933.68,5815.08,5910.69,1003.95,785.14,842.65,-111.08,-81.85,-29.23,2502货,-4.82货,169货,173货,6449,N/A,62.6窾,3.33窾,6.66窾,10.8窾,6848,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70.8货,8768货,115货,44.5货,N/A,26.5货,-757货,54.4货,27.8货,N/A,6.61货,-415货,21.7货,15.1货,N/A,104货,7560货,191货,87.4货,N/A,N/A,N/A,N/A
2002/5/16,5883.57,5883.57,5795.84,5801.47,639.88,720.06,806.33,-107.26,-86.93,-20.33,2495货,-6.36货,122货,129货,1.03窾,N/A,62.1窾,-4928,7.35窾,7.15窾,2058,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.3货,8787货,68.9货,50.7货,N/A,-13.6货,-771货,18.5货,32.1货,N/A,-3.49货,-419货,7.27货,10.8货,N/A,1.14货,7562货,94.7货,93.5货,N/A,N/A,N/A,N/A
2002/5/17,5830.72,5865.44,5779.43,5789.84,768.92,709.2,793.86,-104.2,-90.39,-13.82,2489货,-6.84货,131货,136货,1.34窾,N/A,63.2窾,1.15窾,7.98窾,9.61窾,4627,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.65货,8790货,72.9货,69.2货,N/A,-7.11货,-778货,35.1货,42.2货,N/A,-2.74货,-421货,9.33货,12.1货,N/A,-6.20货,7555货,117货,124货,N/A,N/A,N/A,N/A
2002/5/20,5739.45,5739.45,5564.96,5574.71,602.47,729.54,774.56,-115.99,-95.51,-20.48,2430货,-58.7货,96.8货,153货,1.64窾,N/A,56.3窾,-6.98窾,9.21窾,2.42窾,1891,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.40货,8799货,58.8货,50.4货,N/A,-9.73货,-788货,25.4货,35.2货,N/A,-16.3货,-438货,6.63货,23.0货,N/A,-17.7货,7538货,90.9货,109货,N/A,N/A,N/A,N/A
2002/5/21,5497.98,5540.49,5429.01,5443.18,607.47,724.54,747.17,-135.83,-103.57,-32.26,2370货,-59.8货,99.0货,148货,4.40窾,N/A,52.4窾,-3.86窾,8.17窾,4.53窾,1952,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-3.81货,8795货,57.2货,61.0货,N/A,-11.3货,-799货,28.3货,39.6货,N/A,-6.96货,-445货,11.3货,18.3货,N/A,-22.0货,7516货,96.8货,119货,N/A,N/A,N/A,N/A
2002/5/22,5444.57,5544.18,5421.8,5541.64,676.92,659.13,722.14,-145.97,-112.05,-33.91,2340货,-29.8货,98.6货,116货,4.91窾,N/A,58.6窾,6.21窾,6.82窾,13.2窾,1339,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-8.39货,8787货,70.9货,79.3货,N/A,2.38货,-796货,30.3货,28.0货,N/A,8821窾,-444货,13.0货,12.1货,N/A,-5.14货,7511货,114货,119货,N/A,N/A,N/A,N/A
2002/5/23,5536.41,5595.9,5526.74,5549.96,615.51,654.26,687.16,-148.79,-119.4,-29.39,2328货,-11.8货,98.9货,103货,2.96窾,N/A,65.6窾,6.97窾,6.92窾,14.0窾,982,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.66货,8785货,66.3货,68.0货,N/A,2.81货,-794货,29.0货,26.2货,N/A,5.35货,-438货,14.3货,8.93货,N/A,6.50货,7517货,110货,103货,N/A,N/A,N/A,N/A
2002/5/24,5588.59,5718.74,5586.93,5706.4,879.27,676.33,692.76,-139.41,-123.4,-16.01,2344货,15.6货,150货,131货,1.51窾,N/A,69.3窾,3.68窾,9.92窾,13.8窾,2011,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.5货,8795货,70.9货,60.4货,N/A,7.55货,-786货,39.2货,31.7货,N/A,5.43货,-433货,18.4货,13.0货,N/A,23.5货,7541货,129货,105货,N/A,N/A,N/A,N/A
2002/5/27,5624.81,5733.97,5623.88,5729.9,687.78,693.39,711.47,-128.5,-124.42,-4.08,2343货,-8365窾,118货,117货,7074,N/A,68.9窾,-3733,8.11窾,7.85窾,1032,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.4货,8815货,61.8货,42.4货,N/A,5.64货,-780货,26.6货,21.0货,N/A,4.18货,-429货,11.8货,7.58货,N/A,29.2货,7570货,100货,70.9货,N/A,N/A,N/A,N/A
2002/5/28,5765.56,5796.73,5652.59,5669.53,751.88,722.27,723.4,-119.07,-123.35,4.28,2358货,14.8货,151货,134货,9904,N/A,72.1窾,3.24窾,6.98窾,10.5窾,2091,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-23.2货,8792货,47.8货,71.0货,N/A,-6619窾,-781货,34.6货,35.3货,N/A,1.05货,-428货,13.5货,12.4货,N/A,-22.8货,7547货,95.9货,119货,N/A,N/A,N/A,N/A
2002/5/29,5620.87,5630.44,5565,5623.23,493.26,685.54,672.34,-117.24,-122.13,4.89,2355货,-2.50货,86.9货,88.0货,7431,N/A,69.8窾,-2.31窾,8.02窾,5.94窾,2116,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-21.1货,8771货,46.8货,67.9货,N/A,-10.2货,-791货,15.0货,25.2货,N/A,-1.39货,-429货,7.66货,9.05货,N/A,-32.7货,7514货,69.4货,102货,N/A,N/A,N/A,N/A
2002/5/30,5646.44,5751.89,5646.44,5736.19,950.34,752.51,703.38,-105.91,-118.89,12.97,2390货,34.6货,167货,132货,7002,N/A,73.6窾,3.74窾,8.07窾,12.2窾,2492,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-18.8货,8752货,112货,131货,N/A,-4.97货,-796货,37.3货,42.3货,N/A,5.14货,-424货,19.5货,14.4货,N/A,-18.6货,7496货,169货,188货,N/A,N/A,N/A,N/A
2002/5/31,5718.29,5718.29,5645.95,5675.65,652.17,707.09,691.71,-98.93,-114.89,15.97,2387货,-3.44货,110货,108货,9665,N/A,74.0窾,4487,6.54窾,7.18窾,1488,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-19.2货,8733货,87.6货,107货,N/A,4.74货,-792货,28.6货,23.9货,N/A,4.71货,-419货,12.2货,7.45货,N/A,-9.79货,7486货,128货,138货,N/A,N/A,N/A,N/A
2002/6/3,5628.27,5628.27,5517.62,5571.08,487.28,666.99,680.19,-100.85,-112.09,11.23,2366货,-20.4货,82.9货,105货,1.04窾,N/A,68.3窾,-5.71窾,8.44窾,2.98窾,2396,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-13.9货,8719货,46.9货,60.8货,N/A,-14.4货,-806货,20.2货,34.6货,N/A,-1.21货,-421货,9.52货,10.7货,N/A,-29.5货,7456货,76.7货,106货,N/A,N/A,N/A,N/A
